date,high_temp,low_temp,humidity,rain
2017-07-22,91.6,77.5,77.0,0.0
2017-07-23,95.3,78.4,75.54166666666667,1.5
2017-07-24,91.8,79.3,80.125,1.5
2017-07-25,92.6,78.6,79.66666666666667,0.2
2017-07-26,90.9,79.2,80.5,4.4
2017-07-27,90.3,78.2,78.95833333333333,1.2
2017-07-28,91.7,79.9,80.29166666666667,1.6
2017-07-29,86.8,80.0,85.5,53.5
2017-07-30,89.3,80.8,79.20833333333333,28.7
2017-07-31,87.9,79.3,87.875,6.4
2017-08-01,88.0,78.4,84.29166666666667,1.1
2017-08-02,88.6,78.3,87.0,8.1
2017-08-03,88.5,77.8,84.95833333333333,2.8
2017-08-04,88.8,79.3,83.75,2.0
2017-08-05,91.4,78.5,83.125,0.0
2017-08-06,93.2,78.5,80.375,0.0
2017-08-07,94.2,78.6,80.08333333333333,0.8
2017-08-08,91.9,77.6,80.0,0.9
2017-08-09,92.8,79.2,73.83333333333333,0.0
2017-08-10,93.2,77.0,75.75,0.0
