date,high_temp,low_temp,humidity,rain
2020-07-22,94.6,79.7,70.79166666666667,1.8
2020-07-23,93.9,81.2,73.0,4.1
2020-07-24,99.1,80.2,66.41666666666667,0.3
2020-07-25,92.6,81.7,75.08333333333333,1.4
2020-07-26,94.2,80.1,78.33333333333333,2.6
2020-07-27,94.4,79.6,79.95833333333333,5.3
2020-07-28,89.8,78.9,79.41666666666667,4.2
2020-07-29,92.6,77.5,73.41666666666667,1.1
2020-07-30,89.4,79.9,74.20833333333333,0.0
2020-07-31,93.3,81.6,71.16666666666667,0.0
2020-08-01,94.0,79.3,69.25,0.0
2020-08-02,92.9,78.4,77.125,3.2
2020-08-03,81.1,78.5,91.04166666666667,82.4
2020-08-04,89.5,76.7,84.875,5.3
2020-08-05,90.1,78.9,82.33333333333333,7.6
2020-08-06,92.4,78.3,73.83333333333333,0.0
2020-08-07,91.7,78.4,76.625,0.4
2020-08-08,90.5,77.3,78.66666666666667,1.6
2020-08-09,88.3,76.4,79.83333333333333,0.1
2020-08-10,91.4,78.4,79.125,1.1
