date,high_temp,low_temp,humidity,rain
2016-07-22,90.9,81.0,80.54166666666667,0.0
2016-07-23,90.2,80.3,80.41666666666667,0.0
2016-07-24,88.6,80.0,84.08333333333333,1.0
2016-07-25,88.5,78.8,83.875,0.6
2016-07-26,88.6,79.5,82.04166666666667,0.7
2016-07-27,92.2,79.2,77.08333333333333,0.0
2016-07-28,93.1,78.8,75.95833333333333,0.4
2016-07-29,90.3,81.9,80.70833333333333,0.8
2016-07-30,89.7,80.2,81.54166666666667,0.2
2016-07-31,88.4,78.7,85.125,0.0
2016-08-01,88.8,80.2,82.04166666666667,0.0
2016-08-02,86.7,79.0,85.95833333333333,17.7
2016-08-03,89.4,80.7,82.54166666666667,11.8
2016-08-04,90.4,80.4,82.20833333333333,1.0
2016-08-05,90.5,80.6,79.875,1.7
2016-08-06,86.5,80.5,86.375,6.7
2016-08-07,87.1,79.7,88.33333333333333,3.7
2016-08-08,86.8,79.2,84.75,2.5
2016-08-09,87.3,80.0,85.5,5.7
2016-08-10,88.5,80.3,87.70833333333333,1.6
