date,high_temp,low_temp,humidity,rain
2018-07-22,91.0,76.8,81.45833333333333,3.3
2018-07-23,83.8,79.0,87.375,8.2
2018-07-24,89.2,77.8,86.04166666666667,15.2
2018-07-25,90.3,77.9,83.625,2.9
2018-07-26,90.5,78.4,83.16666666666667,5.7
2018-07-27,89.1,76.8,84.08333333333333,2.0
2018-07-28,89.7,78.4,83.5,1.1
2018-07-29,90.3,78.6,81.70833333333333,0.2
2018-07-30,91.7,77.2,80.375,0.0
2018-07-31,92.4,77.3,77.33333333333333,0.0
2018-08-01,92.7,79.1,81.5,11.2
2018-08-02,91.7,78.0,79.20833333333333,4.5
2018-08-03,92.8,78.1,81.79166666666667,7.9
2018-08-04,89.6,79.4,84.875,2.0
2018-08-05,90.0,78.6,83.20833333333333,4.9
2018-08-06,89.1,78.4,81.375,3.2
2018-08-07,91.1,76.5,77.25,0.0
2018-08-08,89.6,75.1,79.70833333333333,0.6
2018-08-09,89.7,76.2,78.70833333333333,2.0
2018-08-10,91.5,77.0,78.04166666666667,0.4
